origem_anterior,destino_no_arquivo,estado,motivo
processamento,arquivo/pipeline_pos_coleta_v1_abortado_20260724/processamento,arquivado,normalizacao e derivados v1 substituidos
notebooks/processamento,arquivo/pipeline_pos_coleta_v1_abortado_20260724/notebooks/processamento,arquivado,cadernos pos-coleta v1
notebooks/dados,arquivo/pipeline_pos_coleta_v1_abortado_20260724/notebooks/dados,arquivado,inventario censo e smoke do reinicio encerrado
relatorios_operacionais,arquivo/pipeline_pos_coleta_v1_abortado_20260724/relatorios_operacionais,arquivado,formato experimental do reinicio encerrado
specs/reinicio_analise_plenario,arquivo/pipeline_pos_coleta_v1_abortado_20260724/specs/reinicio_analise_plenario,arquivado,specs congeladas e substituidas
specs/atualizacao_dados_colab,arquivo/pipeline_pos_coleta_v1_abortado_20260724/specs/atualizacao_dados_colab,arquivado,contrato misto de coleta e processamento v1
scripts/generate_update_colab_notebooks.py,arquivo/pipeline_pos_coleta_v1_abortado_20260724/scripts/generate_update_colab_notebooks.py,arquivado,gerador dependente do processamento v1
scripts/generate_drive_inventory_colab_notebook.py,arquivo/pipeline_pos_coleta_v1_abortado_20260724/scripts/generate_drive_inventory_colab_notebook.py,arquivado,gerador do inventario encerrado
scripts/generate_snapshot_census_colab_notebook.py,arquivo/pipeline_pos_coleta_v1_abortado_20260724/scripts/generate_snapshot_census_colab_notebook.py,arquivado,gerador do censo encerrado
scripts/generate_snapshot_v2_smoke_colab_notebook.py,arquivo/pipeline_pos_coleta_v1_abortado_20260724/scripts/generate_snapshot_v2_smoke_colab_notebook.py,arquivado,gerador do smoke encerrado
data/schemas/processed_textos_parlamentares_v1.*,arquivo/pipeline_pos_coleta_v1_abortado_20260724/data/schemas,arquivado,schema processado v1 substituido
tests relacionados ao processamento v1,arquivo/pipeline_pos_coleta_v1_abortado_20260724/tests,arquivado,testes preservados junto da implementacao
